misspelled,correction
accommodate,accommodate
accumlator,accumulator
acr,
acro,
acurately,accurately
adaquate,adequate
addessed,addressed
additon,addition
additonal,additional
adequite,adequate
adittionally,additionally
alain,
alarmlight,alarm light
alarms,alarm
alarmsconditions,alarm condition
alarmshutdown,alarm shutdown
alignement,alignment
alumimum,aluminum
aluminim,aluminum
analized,analyze
anaylsis,analysis
antenaes,antennas
appreared,appeared
apropriate,appropriate
aprox,approximate
aradous,arduous
arrivedremoved,arrived removed
arroded,eroded
asbuilt,as built
asemblely,assembly
assembely,assembly
assmbly,assembly
assoc,associate
asssembled,assembled
attactched,attached
attched,attached
attemptedduring,attempted during
autoinflator,auto-inflator
autoinflators,auto-inflator
availabilty,availability
avialbility,availability
backfitted,back fitted
balanc,balance
balast,ballast
barniccle,barnacle
barpsi,bar psi
bbrown,brown
beckett,
beed,
befor,before
bernardcramp,bernard cramp
bildge,bilge
bilgmon,
bindingunable,binding unable
blige,bilge
bloock,block
bosn,bosun
both2,both 2
bracckets,bracket
breakure,breaker
bridege,bridge
bridgewing,bridge wing
bstract,abstract
buckhead,bulkhead
buensuceso,
buggied,buggy
bwing,wing
bynew,by new
cabinents,cabinet
cableattachment,cable attachment
cablewayconduit,cableway conduit
cabnet,cabinet
cabnets,cabinet
cailbrated,calibrated
canbus,CAN bus
capac,capacity
capelle,
capstain,capstan
capstains,capstan
capt,
capts,
carier,carrier
carrie,carrier
carriecurran,carrier
casrepd,CASREP
casreped,CASREP
casrep,CASREP
catylyst,catalyst
cemeted,cemented
centerdistribution,center distribution
centersdistribution,center distribution
certi,certification
certifed,certified
certificat,certificate
certsservice,certification service
chainlever,chain lever
chargerinverter,charger inverter
chaulk,caulk
chemest,chemist
chemicol,chemical
chestsjet,chest jet
chiefmate,
chnage,change
xfer,transfer
cieling,ceiling
circuitis,circuit
circut,circuit
mods,modification
mod,modification
clavalve,
claycomb,
cleanedlocated,clean locate
cleani,clean
cleaningmaintenance,clean maintenance
cleaningspeed,clean speed
clearanced,clearance
cleard,clear
clickbond,click bond
clinder,
clipsbrackets,clip bracket
cloged,clog
clogg,clog
closedlowered,close lower
closeoutnote,
closingtightening,close tighten
cmgenerated,generate
cntfgl,centrifugal
coffie,coffee
comestic,cosmetic
comlpeted,complete
commishned,commission
commition,commission
commstransmitter,communication transmitter
comms,communication
comodes,commode
comopressor,compressor
compatable,compatible
compeleted,complete
completede,complete
completly,complete
complpeted,complete
complteted,complete
compresso,
compressorsdehydrators,
compressorsn,
comrpessor,
condcut,conduct
condenscer,condenser
condensor,condenser
condinsation,condensation
conditiewons,condition
conex,
conax,
connex,
configuation,configuration
consistant,consistent
consol,console
constanly,constantly
constructionmachining,construction machining
contactoroverload,contractor overload
contaminents,contaminant
contamiting,contaminant
contanminated,contaminate
continous,continuous
continuosly,continuous
continuuous,continuous
contiuous,continuous
contorlling,control
contiuous,continuous
contol,control
contstantly,constant
converterpreventer,converter preventer
cookbaker,cook baker
coolantant,coolant
coombination,combination
corosion,corrosion
correupted,corrupted
corrision,corrosion
cosmoile,compile
cotacts,contacts
cotracted,contracted
couplingspider,coupling spider
cracksstructural,crack structural
craddle,cradle
craked,
craking,
crancase,crankcase
cranemanbasketmanlift,crane man basket manlift
cruiciform,cruciform
cuasing,causing
cumbesome,cumbersome
currenlty,currently
currewtly,currently
cursur,cursory
cusion,cushion
cylind,cylinder
cylinderpin,cylinder pin
cyliner,cylinder
cylinider,cylinder
dain,drain
damagedduring,damage during
damging,damage
dampeningon,dampen on
dampner,dampener
dateweight,date weight
deadman,dead man
debri,debris
debrit,debris
deckbulkhead,deck bulkhead
defectsdamage,defect damage
deffective,defective
deffered,deferred
degradated,degraded
degredation,degradation
desalinator,desalinate
desbris,debris
desgin,design
desginated,designated
destilleddei,distilled
detatched,detached
deteriated,deteriorated
deterioated,deteriorated
deterioriation,deteriorate
determind,determine
detieration,deteriorate
developped,develop
developted,develop
diag,
dicharge,discharge
didgiboxfirst,didgi box first
dilapadated,dilapidated
diplsying,displaying
disch,discharge
disconect,disconnect
disconectreconnect,disconnect reconnect
discprancies,discrepancies
discrepances,discrepancies
discrepencies,discrepancies
discribes,describe
disengague,disengage
dishwashingsanitizer,dishwashing sanitizer
dispens,dispense
disrepancies,discrepancies
dissable,disable
docksideonboardoutboard,dock side onboard outboard
dont,don't
dooraircraft,door aircraft
doorhatch,door hatch
doorlight,door light
doorsweather,doors weather
drail,
drainedflushed,drain flush
drainedfo,drain
draing,drain
drainpump,drain pump
drainsverdigris,drains verdigris
drainunloader,drain unload
drawersrail,drawer rail
drawingsdocumentation,drawing documentation
dregard,
drian,drain
dring,during
dripscollects,drips collects
dtection,detection
dynamicsmission,dynamics mission
edcis,ecdis
ecdisc,ecdis
eelctric,electric
eengine,engine
elctrical,electrical
elec,electric
elecicship,
elect,electric
electricl,electrical
emabrked,embarked
embarqued,embarked
engeneering,engineering
WTD,watertight door
Repacement,replacement
accommodate,accommodation
